Statistic,γ2_Standard,γ2_CES,γ10_Standard,γ10_CES
Iterations,3185.0,3687.0,2080.0,5000.0
Runtime,4.213000059127808,5.750999927520752,3.4839999675750732,16.693000078201294
Mean assets,97.11644940054944,97.11619704737672,92.84760905509313,6.720137580044348e34
SD assets,46.72089475207233,46.72082998520699,34.73029640259888,4.079647883675369e35
Min assets,3.2506344904557305,3.250630996393694,11.087718331463334,6666.536235656514
Max assets,173.76406160354634,173.76379256869944,151.47467266177426,5.0670221985982867e36
Mean consumption,1.9896231576384529,1.9896206855680492,1.765796679345703,-2.693118140049836e28
SD consumption,0.4715750676708597,0.4715744113311387,0.28820266872278455,1.6349070196432518e29
Min consumption,1.0205091847405607,1.0205092273053027,1.0668426511338904,-2.0308700969453384e30
Max consumption,2.8243333566853646,2.8243304839393306,2.3067823540107084,-0.002444482160049624
Fraction constrained,0.0,0.0,0.0,0.0
"Corr(a_t, a_{t-1})",0.9999940299779709,0.999994029955728,0.999988374161957,1.0
"Corr(c_t, c_{t-1})",0.9988198789496621,0.9988198844117139,0.9973719974458851,0.9999999845898412
"Corr(c_t, z_t)",0.06915661065109878,0.06915662004930057,0.1201592741032117,0.06789773015262651
"Corr(a_t, z_t)",-0.01692961441536045,-0.01692953987680418,0.0006229408162823209,-0.06795122740010073
Mean Euler error,-2.493265444247361,-2.4932528590444987,-1.7768337070356177,-2.681936665037251
Median Euler error,-2.370958945948792,-2.3709735060483443,-1.8697956542678087,-2.681936665037247
P10 Euler error,-3.3828809305835286,-3.3828338020600652,-2.5869833978993637,-2.681936665037316
P90 Euler error,-1.9039190810810132,-1.9039119056825378,-1.0901819656712926,-2.6819366650372003
